ACCRUAL_STATUS_CD,ACQSTN_DT,ACQSTN_FLG,ALL_INT_RT_FLR_IND,AMENDED_RESTATED_EFF_DT,AMORTIZATION,BNK_NET_AVG_OUTSTDG_MTD_AMT,BNK_NET_COMMTMT_AMT,BNK_NET_OUTSTDG_AMT,BNK_NET_OUTSTDG_INCL_PCI_AMT,BQR_CD,CHRGOFF_NET_LTD_AMT,COLLTRL_CD,COMMITMENT_AMT,CROSS_COLLAT_loans,CURR_EFF_DT,CURR_MATURTY_DT,CURRENT_APPRAISAL_DATE,CUST_NET_COMMTMT_AMT,CUST_NET_OUTSTDG_AMT,DAYS_PAST_DUE_CT,DEFF_FEES,DELIVERY_DT,Disposition_FLG,Exclusion_flag,EXT_MATURTY_ALLWNCE_DT,EXT_MATURTY_DT,FACLTY_AU_CD,FACLTY_BNK_NBR_ID,FACLTY_ID,FACLTY_OBLGR_ID,FACLTY_SOR_ID,faclty_unique_identifier,FACLTY_WF_LEGL_ENTITY_CD,GL_ACCT_NBR,GL_CD,GLBL_AMT,HFS_IND,INT_RT,INT_RT_CEILNG,INT_RT_FLR,INT_RT_INDX_CD,INT_RT_RESET_FREQ_CD,INT_RT_SPRD,INT_RT_TYP_CD,INTEREST_RATE_INDEX,INTEREST_RATE_VARIABILITY,INTERNAL_RATING,IS_OBLIGATORY_FLG,LEVRG_LENDG_FLG,LIEN_CD,LIENPOSITION,LOAN_PRPSE_CD,LOAN_PURPOSE,LOANNUMBER,LST_MAJR_TERMS_MOD_DT,MATURTY_DT,MATURTY_DURTN_CD,NET_AVLBL_AMT,NET_COMMTTD_AVLBL_AMT,NET_LTTR_OF_CRDT_ISSUED_AMT,NINETY_DAYS_PAST_DUE_RPTBLE_FLG,NON_ACCRL_DT,NON_ACCRL_FLG,OBLGN_AU_CD,OBLGN_BNK_NBR_ID,OBLGN_CLSD_STAT_FLG,OBLGN_ID,OBLGN_OBLGR_ID,OBLGN_SOR_ID,OBLGN_TYP_CD,OBLGN_WF_LEGL_ENTITY_CD,OBLGR_BNK_NBR_ID,OBLGR_ID,OBLGR_SOR_ID,ORIG_FACILITY_ID,ORIG_OBLIGOR_ID,ORIG_SYS_ID,ORIGINATION_DATE,ORIGNL_COMMTMT_AMT,ORIGNL_EFF_DT,ORIGNL_ORIGNG_BNK_CD,OUTSTANDING_AMT,PARTICIPATION_IND,PARTICIPATION_INT,PARTICIPATION_PRCNT,PCI_FLG,period_dt,PREPAYMENT_PENALTY_FLAG,PRIME_INT_RT_FLR,PROD_CD,QSR_NO,REC_TYP_CD,REF_INT_RT_FLR,REF_INT_RT_FLR_IND,RENEWAL_DT,RUN_DATE,THIRTY_TO_89_DAYS_PAST_DUE_RPTBLE_FLG,V_CMPST_SRC_CONTRACT_ID,v_hiercy_lvl_cd,v_imm_prnt_contract_code,V_REC_TY_TXT,Y9C_CD
ACCRUAL,2021-01-15,N,N,2022-06-15,P&I,41000000,35000000,30000000,30000000,BBB,0,RE,35000000,N,2024-01-01,2026-12-31,2023-06-01,35000000,30000000,0,25000,2021-01-15,N,N,,2027-06-30,AU-001,1001,FAC-001,OBLGR-001,1SOR,FAC-001-OBLGR-001,WF-LEG-001,GL-12345,CRE,30000000,N,6.25,8.00,4.00,SOFR,QUARTERLY,2.50,VARIABLE,SOFR,VARIABLE,BBB+,Y,N,1ST,1,CRE-ACQ,Property Acquisition,LN-001,2022-06-15,2026-12-31,60,5000000,5000000,0,N,,N,OBL-AU-001,1001,N,OBL-001,OBLGR-001,1SOR,TERM,WF-LEG-001,1001,OBLGR-001,1SOR,FAC-001,OBLGR-001,SYS-001,2021-01-15,35000000,2021-01-15,WF-1001,30000000,N,0,0.00,N,2024-01-31,Y,4.00,TRM,QSR-2024-001,LOAN,4.00,N,2025-12-31,2024-01-31,N,CMPST-001,L1,LN-001,TERM_LOAN,H1A
ACCRUAL,2021-01-15,N,N,2022-06-15,INTEREST,15000000,15000000,12000000,12000000,BBB,0,RE,15000000,Y,2024-01-01,2026-12-31,2023-06-01,15000000,12000000,0,12500,2021-01-15,N,N,,2027-06-30,AU-001,1001,FAC-001,OBLGR-001,1SOR,FAC-001-OBLGR-001,WF-LEG-001,GL-12345,CRE,12000000,N,6.25,8.00,4.00,SOFR,MONTHLY,2.25,VARIABLE,SOFR,VARIABLE,BBB,Y,N,2ND,2,CRE-REV,Working Capital,LN-001,2022-06-15,2026-12-31,36,3000000,3000000,0,N,,N,OBL-AU-001,1001,N,OBL-002,OBLGR-001,1SOR,REVOLVER,WF-LEG-001,1001,OBLGR-001,1SOR,FAC-001,OBLGR-001,SYS-001,2021-01-15,15000000,2021-01-15,WF-1001,12000000,N,0,0.00,N,2024-01-31,N,4.00,REV,QSR-2024-001,LOAN,4.00,N,2025-12-31,2024-01-31,N,CMPST-002,L1,LN-001,REVOLVER,H1B
ACCRUAL,2018-07-01,N,N,2019-03-20,P&I,18000000,25000000,18500000,18500000,BB+,0,RE,25000000,N,2024-01-01,2025-06-30,2023-09-01,25000000,18500000,0,9250,2018-07-01,N,N,,2025-12-31,AU-002,1002,FAC-002,OBLGR-002,1SOR,FAC-002-OBLGR-002,WF-LEG-002,GL-12346,CI,18500000,N,5.75,7.50,3.50,SOFR,MONTHLY,2.25,VARIABLE,SOFR,VARIABLE,BB+,Y,N,1ST,1,CI-REV,Working Capital,LN-002,2019-03-20,2025-06-30,18,6500000,6500000,0,N,,N,OBL-AU-002,1002,N,OBL-003,OBLGR-002,1SOR,REVOLVER,WF-LEG-002,1002,OBLGR-002,1SOR,FAC-002,OBLGR-002,SYS-002,2018-07-01,25000000,2018-07-01,WF-1002,18500000,N,0,0.00,N,2024-01-31,N,3.50,REV,QSR-2024-002,LOAN,3.50,N,2024-06-30,2024-01-31,N,CMPST-003,L1,LN-002,REVOLVER,H1C
ACCRUAL,2020-04-01,N,N,2021-11-10,INTEREST,59000000,75000000,60000000,60000000,BBB-,0,RE,75000000,N,2024-01-01,2027-03-31,2023-12-01,75000000,60000000,0,18750,2020-04-01,N,N,,2027-09-30,AU-003,1003,FAC-003,OBLGR-003,1SOR,FAC-003-OBLGR-003,WF-LEG-003,GL-12347,CRE,60000000,N,7.50,9.00,5.50,PRIME,MONTHLY,2.00,VARIABLE,PRIME,VARIABLE,BBB-,Y,N,1ST,1,CRE-CON,Development Financing,LN-003,2021-11-10,2027-03-31,84,15000000,15000000,0,N,,N,OBL-AU-003,1003,N,OBL-004,OBLGR-003,1SOR,BRIDGE,WF-LEG-003,1003,OBLGR-003,1SOR,FAC-003,OBLGR-003,SYS-003,2020-04-01,75000000,2020-04-01,WF-1003,60000000,N,0,0.00,N,2024-01-31,Y,5.50,BRG,QSR-2024-003,LOAN,5.50,N,2026-03-31,2024-01-31,N,CMPST-004,L1,LN-003,BRIDGE,H1D
ACCRUAL,2020-04-01,N,N,2021-11-10,P&I,0,0,0,0,BB,0,RE,0,N,2024-01-01,2024-09-30,2023-12-01,0,0,0,3750,2020-04-01,N,N,,2024-09-30,AU-003,1003,FAC-003,OBLGR-003,1SOR,FAC-003-OBLGR-003,WF-LEG-003,GL-12347,CRE,0,N,9.50,11.00,7.50,PRIME,QUARTERLY,4.00,VARIABLE,PRIME,VARIABLE,BB,Y,N,2ND,2,CRE-MEZ,Mezzanine Financing,LN-003,2021-11-10,2024-09-30,12,0,0,0,N,,N,OBL-AU-003,1003,N,OBL-005,OBLGR-003,1SOR,MEZZ,WF-LEG-003,1003,OBLGR-003,1SOR,FAC-003,OBLGR-003,SYS-003,2020-04-01,0,2020-04-01,WF-1003,0,N,0,0.00,N,2024-01-31,N,7.50,MEZ,QSR-2024-003,LOAN,7.50,N,2024-09-30,2024-01-31,N,CMPST-005,L2,LN-003,MEZZ,H1E
ACCRUAL,2019-10-01,N,N,2020-08-05,INTEREST,8300000,10000000,8500000,8500000,A,0,RE,10000000,N,2024-01-01,2025-09-30,2023-03-01,10000000,8500000,0,2500,2019-10-01,N,N,,2025-09-30,AU-004,1004,FAC-004,OBLGR-004,1SOR,FAC-004-OBLGR-004,WF-LEG-004,GL-12348,CONS,8500000,N,4.50,6.00,3.00,PRIME,MONTHLY,1.50,VARIABLE,PRIME,VARIABLE,A,Y,N,1ST,1,CONS-HELOC,Residential Equity Access,LN-004,2020-08-05,2025-09-30,24,1500000,1500000,0,N,,N,OBL-AU-004,1004,N,OBL-006,OBLGR-004,1SOR,HELOC,WF-LEG-004,1004,OBLGR-004,1SOR,FAC-004,OBLGR-004,SYS-004,2019-10-01,10000000,2019-10-01,WF-1004,8500000,N,0,0.00,N,2024-01-31,N,3.00,HELOC,QSR-2024-004,LOAN,3.00,N,2025-09-30,2024-01-31,N,CMPST-006,L1,LN-004,HELOC,H1F
ACCRUAL,2022-03-01,N,N,2023-02-28,P&I,94000000,100000000,95000000,95000000,A-,0,RE,100000000,N,2024-01-01,2028-02-28,2023-09-01,100000000,95000000,0,25000,2022-03-01,N,N,,2028-08-31,AU-005,2005,FAC-005,OBLGR-005,2SOR,FAC-005-OBLGR-005,WF-LEG-005,GL-22345,CRE,95000000,N,6.75,8.50,4.50,SOFR,QUARTERLY,2.25,VARIABLE,SOFR,VARIABLE,A-,Y,N,1ST,1,CRE-ACQ,Portfolio Acquisition,LN-005,2023-02-28,2028-02-28,72,5000000,5000000,0,N,,N,OBL-AU-005,2005,N,OBL-007,OBLGR-005,2SOR,TERM,WF-LEG-005,2005,OBLGR-005,2SOR,FAC-005,OBLGR-005,SYS-005,2022-03-01,100000000,2022-03-01,WF-2005,95000000,N,0,0.00,N,2024-01-31,Y,4.50,TRM,QSR-2024-005,LOAN,4.50,N,2027-02-28,2024-01-31,N,CMPST-007,L1,LN-005,TERM_LOAN,H1G
ACCRUAL,2020-06-01,N,N,2021-05-15,INTEREST,21500000,30000000,22000000,22000000,BBB,0,RE,30000000,Y,2024-01-01,2026-05-31,2023-06-01,30000000,22000000,0,7500,2020-06-01,N,N,,2026-11-30,AU-006,2006,FAC-006,OBLGR-006,2SOR,FAC-006-OBLGR-006,WF-LEG-006,GL-22346,CRE,22000000,N,5.50,7.25,3.75,SOFR,MONTHLY,1.75,VARIABLE,SOFR,VARIABLE,BBB,Y,N,1ST,1,CRE-REV,Acquisition and Development,LN-006,2021-05-15,2026-05-31,48,8000000,8000000,0,N,,N,OBL-AU-006,2006,N,OBL-008,OBLGR-006,2SOR,REVOLVER,WF-LEG-006,2006,OBLGR-006,2SOR,FAC-006,OBLGR-006,SYS-006,2020-06-01,30000000,2020-06-01,WF-2006,22000000,N,0,0.00,N,2024-01-31,N,3.75,REV,QSR-2024-006,LOAN,3.75,N,2025-05-31,2024-01-31,N,CMPST-008,L1,LN-006,REVOLVER,H1H
ACCRUAL,2020-06-01,N,N,2021-05-15,P&I,0,0,0,0,BBB,0,RE,0,N,2024-01-01,2026-05-31,2023-06-01,0,0,0,1500,2020-06-01,N,N,,2026-05-31,AU-006,2006,FAC-006,OBLGR-006,2SOR,FAC-006-OBLGR-006,WF-LEG-006,GL-22346,CRE,0,N,0.75,1.00,0.50,SOFR,MONTHLY,0.25,VARIABLE,SOFR,VARIABLE,BBB,Y,N,2ND,2,CRE-LC,Letter of Credit,LN-006,2021-05-15,2026-05-31,48,0,0,0,N,,N,OBL-AU-006,2006,N,OBL-009,OBLGR-006,2SOR,LC,WF-LEG-006,2006,OBLGR-006,2SOR,FAC-006,OBLGR-006,SYS-006,2020-06-01,0,2020-06-01,WF-2006,0,N,0,0.00,N,2024-01-31,N,0.50,LC,QSR-2024-006,LC,0.50,N,2025-05-31,2024-01-31,N,CMPST-009,L2,LN-006,LOC,H1I
ACCRUAL,2021-10-01,N,N,2022-09-30,P&I,11800000,15000000,12000000,12000000,A+,0,EQ,15000000,N,2024-01-01,2027-09-30,2023-09-01,15000000,12000000,0,3750,2021-10-01,N,N,,2027-09-30,AU-007,2007,FAC-007,OBLGR-007,2SOR,FAC-007-OBLGR-007,WF-LEG-007,GL-22347,CI,12000000,N,5.25,6.75,4.00,LIBOR,SEMI-ANNUAL,1.25,FIXED,LIBOR,FIXED,A+,Y,N,1ST,1,CI-EQF,Technology Capital Expenditure,LN-007,2022-09-30,2027-09-30,72,3000000,3000000,0,N,,N,OBL-AU-007,2007,N,OBL-010,OBLGR-007,2SOR,EQUIP,WF-LEG-007,2007,OBLGR-007,2SOR,FAC-007,OBLGR-007,SYS-007,2021-10-01,15000000,2021-10-01,WF-2007,12000000,N,0,0.00,N,2024-01-31,N,4.00,EQF,QSR-2024-007,LOAN,4.00,N,2027-09-30,2024-01-31,N,CMPST-010,L1,LN-007,EQUIP_FIN,H1J
