transaction_id,obligor_id,facility_id,transaction_type,amount,currency,transaction_date,value_date,status,reference_number,description,created_by,approved_by
TXN-000001,OBL-00197,FAC-0076,Fee Payment,121710594.98,USD,2020-06-20,2020-06-23,Cancelled,REF-21710526,Fee Payment processed under FAC-0076,R. Williams,J. Thompson
TXN-000002,OBL-00105,FAC-0021,Interest Payment,69397800.64,USD,2020-02-05,2020-02-07,Completed,REF-17996341,Waiver processed under FAC-0021,R. Williams,S. Patel
TXN-000003,OBL-00151,FAC-0048,Participation,40617969.09,USD,2022-07-31,2022-08-01,Pending,REF-42547451,Fee Payment processed under FAC-0048,M. Chen,J. Thompson
TXN-000004,OBL-00383,FAC-0016,Interest Payment,74603034.94,USD,2020-10-09,2020-10-09,Pending,REF-13536218,Syndication processed under FAC-0016,R. Williams,J. Thompson
TXN-000005,OBL-00360,FAC-0088,Rollover,289554213.42,USD,2020-08-05,2020-08-05,Completed,REF-14051460,Interest Payment processed under FAC-0088,R. Williams,S. Patel
TXN-000006,OBL-00041,FAC-0058,Syndication,1758236.54,USD,2021-05-16,2021-05-16,Completed,REF-34484603,Assignment processed under FAC-0058,S. Patel,C. Davis
TXN-000007,OBL-00358,FAC-0075,Waiver,25890688.94,USD,2021-09-05,2021-09-08,Pending,REF-96549919,Drawdown processed under FAC-0075,L. Johnson,A. Rodriguez
TXN-000008,OBL-00080,FAC-0002,Interest Payment,3055312.65,USD,2020-05-02,2020-05-02,Failed,REF-31521650,Drawdown processed under FAC-0002,K. Brown,K. Brown
TXN-000009,OBL-00349,FAC-0024,Participation,481384603.59,USD,2022-07-19,2022-07-21,Completed,REF-40509683,Syndication processed under FAC-0024,S. Patel,L. Johnson
TXN-000010,OBL-00499,FAC-0030,Interest Payment,176009501.2,USD,2020-07-07,2020-07-10,Cancelled,REF-38435937,Syndication processed under FAC-0030,P. Wilson,J. Thompson
TXN-000011,OBL-00113,FAC-0061,Participation,342201738.46,USD,2022-03-14,2022-03-15,Failed,REF-20362848,Assignment processed under FAC-0061,D. Lee,R. Williams
TXN-000012,OBL-00335,FAC-0029,Interest Payment,86563728.07,USD,2023-08-07,2023-08-10,Completed,REF-59858951,Syndication processed under FAC-0029,M. Chen,L. Johnson
TXN-000013,OBL-00056,FAC-0043,Waiver,71692174.51,USD,2020-08-01,2020-08-01,Completed,REF-42149161,Amendment processed under FAC-0043,S. Patel,C. Davis
TXN-000014,OBL-00055,FAC-0040,Amendment,110087976.89,USD,2020-05-13,2020-05-14,Completed,REF-84046763,Fee Payment processed under FAC-0040,J. Thompson,M. Chen
TXN-000015,OBL-00138,FAC-0052,Assignment,10526034.81,USD,2020-06-23,2020-06-23,Completed,REF-16449014,Waiver processed under FAC-0052,A. Rodriguez,L. Johnson
TXN-000016,OBL-00005,FAC-0072,Participation,638619464.4,USD,2021-12-31,2022-01-02,Completed,REF-52207776,Syndication processed under FAC-0072,R. Williams,S. Patel
TXN-000017,OBL-00360,FAC-0088,Participation,201196909.79,USD,2023-10-13,2023-10-13,Completed,REF-77401071,Interest Payment processed under FAC-0088,J. Thompson,P. Wilson
TXN-000018,OBL-00408,FAC-0045,Drawdown,57578590.83,USD,2022-02-21,2022-02-24,Completed,REF-31638985,Interest Payment processed under FAC-0045,D. Lee,A. Rodriguez
TXN-000019,OBL-00454,FAC-0078,Fee Payment,160175398.79,USD,2023-07-05,2023-07-05,Completed,REF-97807942,Interest Payment processed under FAC-0078,S. Patel,C. Davis
TXN-000020,OBL-00265,FAC-0016,Interest Payment,36802263.41,USD,2024-02-01,2024-02-03,Completed,REF-49036097,Waiver processed under FAC-0016,P. Wilson,K. Brown
TXN-000021,OBL-00021,FAC-0084,Rollover,59014288.59,USD,2023-12-30,2024-01-02,Failed,REF-20066099,Interest Payment processed under FAC-0084,P. Wilson,D. Lee
TXN-000022,OBL-00050,FAC-0046,Amendment,62622739.58,USD,2020-01-31,2020-02-01,Failed,REF-21699448,Assignment processed under FAC-0046,A. Rodriguez,D. Lee
TXN-000023,OBL-00161,FAC-0058,Amendment,43693308.83,USD,2020-12-13,2020-12-15,Failed,REF-58765094,Waiver processed under FAC-0058,A. Rodriguez,A. Rodriguez
TXN-000024,OBL-00092,FAC-0044,Assignment,29371214.67,USD,2023-12-26,2023-12-29,Completed,REF-69330327,Interest Payment processed under FAC-0044,A. Rodriguez,P. Wilson
TXN-000025,OBL-00250,FAC-0057,Syndication,362997230.39,USD,2020-03-22,2020-03-24,Pending,REF-93172511,Interest Payment processed under FAC-0057,D. Lee,R. Williams
TXN-000026,OBL-00263,FAC-0077,Syndication,67931849.53,USD,2023-07-03,2023-07-05,Failed,REF-70410362,Amendment processed under FAC-0077,J. Thompson,P. Wilson
TXN-000027,OBL-00330,FAC-0098,Participation,147854373.94,USD,2020-04-26,2020-04-27,Completed,REF-30744991,Repayment processed under FAC-0098,L. Johnson,K. Brown
TXN-000028,OBL-00082,FAC-0039,Fee Payment,29406045.54,USD,2023-03-13,2023-03-16,Pending,REF-72045979,Repayment processed under FAC-0039,R. Williams,D. Lee
TXN-000029,OBL-00240,FAC-0005,Interest Payment,10697395.67,USD,2023-08-08,2023-08-11,Cancelled,REF-24542266,Syndication processed under FAC-0005,K. Brown,M. Chen
TXN-000030,OBL-00206,FAC-0042,Rollover,21239295.68,USD,2021-11-04,2021-11-04,Pending,REF-38539411,Assignment processed under FAC-0042,A. Rodriguez,L. Johnson
TXN-000031,OBL-00233,FAC-0013,Interest Payment,289547953.82,USD,2020-03-19,2020-03-20,Cancelled,REF-38651477,Waiver processed under FAC-0013,P. Wilson,J. Thompson
TXN-000032,OBL-00308,FAC-0097,Waiver,8214266.5,USD,2024-05-04,2024-05-07,Pending,REF-73539966,Fee Payment processed under FAC-0097,J. Thompson,M. Chen
TXN-000033,OBL-00445,FAC-0034,Interest Payment,42706792.55,USD,2020-02-16,2020-02-19,Completed,REF-29023738,Repayment processed under FAC-0034,L. Johnson,K. Brown
TXN-000034,OBL-00042,FAC-0033,Participation,620826171.81,USD,2021-09-02,2021-09-05,Completed,REF-99878149,Amendment processed under FAC-0033,S. Patel,J. Thompson
TXN-000035,OBL-00048,FAC-0040,Amendment,166078061.05,USD,2022-05-27,2022-05-29,Completed,REF-36656353,Waiver processed under FAC-0040,K. Brown,D. Lee
TXN-000036,OBL-00244,FAC-0095,Syndication,162144397.65,USD,2023-01-01,2023-01-02,Completed,REF-86546634,Syndication processed under FAC-0095,J. Thompson,C. Davis
TXN-000037,OBL-00401,FAC-0017,Rollover,13267724.44,USD,2023-05-07,2023-05-08,Failed,REF-29410197,Waiver processed under FAC-0017,R. Williams,J. Thompson
TXN-000038,OBL-00078,FAC-0048,Waiver,25321073.02,USD,2022-07-28,2022-07-29,Completed,REF-64544291,Amendment processed under FAC-0048,C. Davis,J. Thompson
TXN-000039,OBL-00231,FAC-0007,Rollover,409293270.89,USD,2020-09-14,2020-09-17,Completed,REF-14897064,Fee Payment processed under FAC-0007,M. Chen,K. Brown
TXN-000040,OBL-00357,FAC-0008,Fee Payment,426431922.55,USD,2023-01-23,2023-01-24,Completed,REF-38153923,Fee Payment processed under FAC-0008,P. Wilson,J. Thompson
TXN-000041,OBL-00190,FAC-0097,Amendment,61425620.01,USD,2022-01-15,2022-01-15,Failed,REF-26743037,Assignment processed under FAC-0097,D. Lee,K. Brown
TXN-000042,OBL-00211,FAC-0040,Syndication,149817840.65,USD,2021-12-21,2021-12-23,Failed,REF-55073885,Repayment processed under FAC-0040,S. Patel,D. Lee
TXN-000043,OBL-00220,FAC-0092,Interest Payment,25843475.95,USD,2022-02-03,2022-02-04,Failed,REF-68502308,Syndication processed under FAC-0092,L. Johnson,K. Brown
TXN-000044,OBL-00325,FAC-0075,Repayment,31028222.75,USD,2021-08-03,2021-08-03,Completed,REF-97191136,Drawdown processed under FAC-0075,P. Wilson,K. Brown
TXN-000045,OBL-00054,FAC-0084,Participation,64060950.34,USD,2022-10-13,2022-10-13,Failed,REF-14380267,Amendment processed under FAC-0084,K. Brown,M. Chen
TXN-000046,OBL-00115,FAC-0072,Repayment,218012009.44,USD,2024-05-10,2024-05-13,Completed,REF-73025187,Repayment processed under FAC-0072,R. Williams,D. Lee
TXN-000047,OBL-00212,FAC-0100,Waiver,4768852.6,USD,2023-08-13,2023-08-16,Completed,REF-78123659,Amendment processed under FAC-0100,L. Johnson,L. Johnson
TXN-000048,OBL-00158,FAC-0069,Drawdown,81046116.92,USD,2024-06-16,2024-06-19,Pending,REF-14385512,Drawdown processed under FAC-0069,J. Thompson,S. Patel
TXN-000049,OBL-00405,FAC-0079,Rollover,38537617.54,USD,2022-02-05,2022-02-07,Pending,REF-42458022,Participation processed under FAC-0079,K. Brown,M. Chen
TXN-000050,OBL-00316,FAC-0061,Rollover,33856281.5,USD,2023-08-12,2023-08-15,Pending,REF-27296700,Syndication processed under FAC-0061,S. Patel,K. Brown
TXN-000051,OBL-00463,FAC-0092,Repayment,258678077.08,USD,2021-10-13,2021-10-14,Cancelled,REF-26955763,Participation processed under FAC-0092,A. Rodriguez,P. Wilson
TXN-000052,OBL-00402,FAC-0034,Interest Payment,44087607.48,USD,2022-03-13,2022-03-15,Completed,REF-37348550,Repayment processed under FAC-0034,A. Rodriguez,J. Thompson
TXN-000053,OBL-00224,FAC-0015,Participation,389701.21,USD,2020-01-24,2020-01-25,Completed,REF-86744869,Syndication processed under FAC-0015,J. Thompson,S. Patel
TXN-000054,OBL-00233,FAC-0013,Fee Payment,56955582.12,USD,2023-07-23,2023-07-25,Completed,REF-36015276,Participation processed under FAC-0013,M. Chen,K. Brown
TXN-000055,OBL-00395,FAC-0015,Interest Payment,125679671.34,USD,2021-06-17,2021-06-17,Cancelled,REF-13105908,Rollover processed under FAC-0015,A. Rodriguez,A. Rodriguez
TXN-000056,OBL-00236,FAC-0063,Amendment,4381674.03,USD,2023-05-05,2023-05-05,Completed,REF-34243439,Repayment processed under FAC-0063,A. Rodriguez,D. Lee
TXN-000057,OBL-00433,FAC-0064,Assignment,37013657.34,USD,2022-01-10,2022-01-11,Completed,REF-65531931,Repayment processed under FAC-0064,D. Lee,A. Rodriguez
TXN-000058,OBL-00108,FAC-0004,Waiver,163821262.07,USD,2023-11-08,2023-11-11,Cancelled,REF-70515891,Interest Payment processed under FAC-0004,S. Patel,L. Johnson
TXN-000059,OBL-00006,FAC-0050,Waiver,76774751.75,USD,2020-12-31,2020-12-31,Completed,REF-74949433,Rollover processed under FAC-0050,P. Wilson,C. Davis
TXN-000060,OBL-00003,FAC-0045,Fee Payment,139399985.47,USD,2020-11-20,2020-11-22,Failed,REF-13966837,Participation processed under FAC-0045,J. Thompson,C. Davis
TXN-000061,OBL-00263,FAC-0077,Waiver,39326575.15,USD,2024-04-07,2024-04-08,Completed,REF-39119581,Drawdown processed under FAC-0077,R. Williams,S. Patel
TXN-000062,OBL-00113,FAC-0061,Assignment,111337315.05,USD,2020-06-19,2020-06-20,Completed,REF-22343983,Waiver processed under FAC-0061,C. Davis,L. Johnson
TXN-000063,OBL-00240,FAC-0005,Syndication,42719013.54,USD,2024-03-06,2024-03-09,Completed,REF-43566934,Interest Payment processed under FAC-0005,M. Chen,L. Johnson
TXN-000064,OBL-00493,FAC-0089,Rollover,3680332.81,USD,2022-03-15,2022-03-15,Completed,REF-32233584,Fee Payment processed under FAC-0089,D. Lee,K. Brown
TXN-000065,OBL-00453,FAC-0042,Amendment,93912356.12,USD,2022-07-02,2022-07-05,Completed,REF-93605694,Repayment processed under FAC-0042,P. Wilson,K. Brown
TXN-000066,OBL-00220,FAC-0092,Repayment,17487407.16,USD,2021-02-13,2021-02-15,Pending,REF-32447787,Drawdown processed under FAC-0092,C. Davis,L. Johnson
TXN-000067,OBL-00301,FAC-0059,Participation,48922980.81,USD,2022-04-19,2022-04-21,Completed,REF-63459816,Drawdown processed under FAC-0059,A. Rodriguez,S. Patel
TXN-000068,OBL-00415,FAC-0075,Waiver,346835824.3,USD,2021-10-22,2021-10-25,Completed,REF-19749620,Fee Payment processed under FAC-0075,R. Williams,R. Williams
TXN-000069,OBL-00075,FAC-0100,Waiver,28036480.53,USD,2024-05-15,2024-05-17,Cancelled,REF-11463110,Waiver processed under FAC-0100,M. Chen,D. Lee
TXN-000070,OBL-00291,FAC-0008,Participation,129992120.88,USD,2024-06-16,2024-06-18,Completed,REF-61753132,Amendment processed under FAC-0008,P. Wilson,M. Chen
TXN-000071,OBL-00270,FAC-0021,Rollover,42361313.87,USD,2021-03-21,2021-03-21,Cancelled,REF-20042733,Rollover processed under FAC-0021,K. Brown,K. Brown
TXN-000072,OBL-00163,FAC-0032,Assignment,51572149.62,USD,2021-10-17,2021-10-18,Pending,REF-16280294,Amendment processed under FAC-0032,K. Brown,A. Rodriguez
