facility_id,facility_name,facility_type,credit_limit,currency,outstanding_balance,available_credit,utilization_pct,status,risk_rating,risk_score,relationship_manager,region,country,created_date,maturity_date,interest_rate
FAC-0001,Global Ventures Term Loan,Term Loan,1378771445.25,EUR,384082418.15,994689027.1,27.86,Active,A-,1.29,Robert Ashford,Americas,Chile,2015-12-23,2025-08-05,5.543
FAC-0002,Enhanced Delta Revolving Credit Facility,Revolving Credit Facility,3581517966.55,USD,2367598191.3,1213919775.25,66.11,Active,A+,8.28,William Stanton,Global,United States,2020-01-14,2029-08-22,4.222
FAC-0003,Secured Solutions Bridge Loan,Bridge Loan,1686289752.84,SGD,293746067.53,1392543685.31,17.42,Pending,A+,8.26,David Harrington,Americas,Brazil,2018-11-09,2028-08-15,9.285
FAC-0004,Corporate Investment Construction Loan,Construction Loan,1469425515.63,CHF,885934040.78,583491474.85,60.29,Active,AAA,6.95,Robert Ashford,APAC,South Korea,2017-02-26,2020-12-06,8.432
FAC-0005,Unsecured Expansion Construction Loan,Construction Loan,3180243799.1,EUR,1246228599.82,1934015199.28,39.19,Pending,BB,9.43,Michael Pemberton,APAC,Singapore,2017-05-08,2023-05-05,5.773
FAC-0006,Senior Expansion Syndicated Credit Facility,Syndicated Credit Facility,1900379931.58,AUD,1694414247.06,205965684.52,89.16,Under Review,AA-,8.4,Angela Drummond,EMEA,UAE,2018-08-21,2022-04-06,2.03
FAC-0007,Structured Ventures Leveraged Buyout Facility,Leveraged Buyout Facility,1576816014.59,CHF,984486548.67,592329465.92,62.44,Closed,AA,3.22,Patricia Holloway,Global,United States,2016-08-08,2022-07-27,4.927
FAC-0008,Bilateral Capital Leveraged Buyout Facility,Leveraged Buyout Facility,1100507191.99,CAD,988288567.38,112218624.61,89.8,Pending,AA,6.65,Rebecca Lawson,Global,United States,2015-07-12,2019-10-03,4.578
FAC-0009,Club Investment Leveraged Buyout Facility,Leveraged Buyout Facility,1260813529.31,AUD,684093108.7,576720420.61,54.26,Active,BB-,3.4,Steven Caldwell,Americas,United States,2022-08-24,2031-08-31,4.978
FAC-0010,Global Ventures Acquisition Facility,Acquisition Facility,4379885437.19,JPY,1360879637.88,3019005799.31,31.07,Active,B+,6.75,Thomas Blackwood,EMEA,Switzerland,2016-03-11,2022-07-15,7.6
FAC-0011,Institutional Group Trade Finance Facility,Trade Finance Facility,2654116592.61,CHF,266625962.46,2387490630.15,10.05,Active,B,4.27,James Thornton,APAC,Hong Kong,2015-03-21,2019-06-21,3.427
FAC-0012,Corporate Beta Leveraged Buyout Facility,Leveraged Buyout Facility,3660878436.25,CAD,2755977389.16,904901047.09,75.28,Active,BBB,2.49,Andrew Davenport,EMEA,Germany,2022-05-26,2030-09-22,7.542
FAC-0013,Priority Epsilon Syndicated Credit Facility,Syndicated Credit Facility,1997966538.49,EUR,1273403109.61,724563428.88,63.73,Active,AA+,3.23,Sarah Mitchell,APAC,Hong Kong,2020-10-20,2028-11-11,6.206
FAC-0014,Strategic Delta Syndicated Credit Facility,Syndicated Credit Facility,40918240.73,JPY,27262709.07,13655531.66,66.63,Active,B+,3.97,Daniel Fowler,Americas,Canada,2015-10-04,2019-02-08,3.214
FAC-0015,Priority Group Bridge Loan,Bridge Loan,4412503460.33,CAD,2475279064.65,1937224395.68,56.1,Active,AA-,1.85,William Stanton,EMEA,South Africa,2020-04-21,2027-11-13,4.789
FAC-0016,Premier Holdings Revolving Credit Facility,Revolving Credit Facility,4920905230.77,SGD,879534536.64,4041370694.13,17.87,Active,AA-,2.71,William Stanton,Global,United States,2016-03-23,2022-01-04,2.968
